"";"TCGA-2J-AAB6";"TCGA-2J-AAB8";"TCGA-2J-AAB9";"TCGA-2J-AABA";"TCGA-2J-AABE";"TCGA-2J-AABF";"TCGA-2J-AABK";"TCGA-2J-AABO";"TCGA-2J-AABR";"TCGA-2J-AABT";"TCGA-2J-AABU";"TCGA-2J-AABV";"TCGA-2L-AAQA";"TCGA-2L-AAQE";"TCGA-2L-AAQI";"TCGA-2L-AAQJ";"TCGA-2L-AAQL";"TCGA-3A-A9I5";"TCGA-3A-A9I7";"TCGA-3A-A9I9";"TCGA-3A-A9IB";"TCGA-3A-A9IC";"TCGA-3A-A9IH";"TCGA-3A-A9IU";"TCGA-3A-A9IX";"TCGA-3A-A9IZ";"TCGA-3A-A9J0";"TCGA-3E-AAAY";"TCGA-3E-AAAZ";"TCGA-F2-6880";"TCGA-F2-7273";"TCGA-F2-7276";"TCGA-F2-A44G";"TCGA-F2-A44H";"TCGA-F2-A7TX";"TCGA-F2-A8YN";"TCGA-FB-A4P5";"TCGA-FB-A4P6";"TCGA-FB-A545";"TCGA-FB-A5VM";"TCGA-FB-A78T";"TCGA-FB-AAPP";"TCGA-FB-AAPQ";"TCGA-FB-AAPS";"TCGA-FB-AAPU";"TCGA-FB-AAPY";"TCGA-FB-AAPZ";"TCGA-FB-AAQ0";"TCGA-FB-AAQ1";"TCGA-FB-AAQ2";"TCGA-FB-AAQ3";"TCGA-FB-AAQ6";"TCGA-H6-8124";"TCGA-HV-A5A3";"TCGA-HV-A5A4";"TCGA-HV-A5A5";"TCGA-HV-A5A6";"TCGA-HV-A7OL";"TCGA-HV-AA8V";"TCGA-HV-AA8X";"TCGA-HZ-7918";"TCGA-HZ-7919";"TCGA-HZ-7920";"TCGA-HZ-7922";"TCGA-HZ-7923";"TCGA-HZ-7924";"TCGA-HZ-7925";"TCGA-HZ-7926";"TCGA-HZ-8001";"TCGA-HZ-8002";"TCGA-HZ-8003";"TCGA-HZ-8005";"TCGA-HZ-8315";"TCGA-HZ-8317";"TCGA-HZ-8636";"TCGA-HZ-8637";"TCGA-HZ-A49G";"TCGA-HZ-A49H";"TCGA-HZ-A49I";"TCGA-HZ-A4BH";"TCGA-HZ-A77O";"TCGA-HZ-A8P0";"TCGA-HZ-A8P1";"TCGA-IB-7644";"TCGA-IB-7645";"TCGA-IB-7646";"TCGA-IB-7647";"TCGA-IB-7649";"TCGA-IB-7651";"TCGA-IB-7652";"TCGA-IB-7654";"TCGA-IB-7885";"TCGA-IB-7886";"TCGA-IB-7887";"TCGA-IB-7888";"TCGA-IB-7889";"TCGA-IB-7890";"TCGA-IB-7891";"TCGA-IB-7893";"TCGA-IB-7897";"TCGA-IB-8126";"TCGA-IB-8127";"TCGA-IB-A5SO";"TCGA-IB-A5SP";"TCGA-IB-A5SQ";"TCGA-IB-A5SS";"TCGA-IB-A5ST";"TCGA-IB-A6UF";"TCGA-IB-A6UG";"TCGA-IB-A7LX";"TCGA-IB-A7M4";"TCGA-IB-AAUM";"TCGA-IB-AAUN";"TCGA-IB-AAUO";"TCGA-IB-AAUP";"TCGA-IB-AAUQ";"TCGA-IB-AAUR";"TCGA-IB-AAUS";"TCGA-IB-AAUU";"TCGA-IB-AAUV";"TCGA-IB-AAUW";"TCGA-L1-A7W4";"TCGA-LB-A7SX";"TCGA-LB-A8F3";"TCGA-LB-A9Q5";"TCGA-M8-A5N4";"TCGA-OE-A75W";"TCGA-PZ-A5RE";"TCGA-Q3-A5QY";"TCGA-Q3-AA2A";"TCGA-RB-AA9M";"TCGA-RL-AAAS";"TCGA-S4-A8RM";"TCGA-S4-A8RO";"TCGA-S4-A8RP";"TCGA-US-A774";"TCGA-US-A779";"TCGA-US-A77G";"TCGA-US-A77J";"TCGA-XD-AAUG";"TCGA-XD-AAUH";"TCGA-XD-AAUI";"TCGA-XD-AAUL";"TCGA-XN-A8T3";"TCGA-YB-A89D";"TCGA-YY-A8LH";"TCGA-Z5-AAPL"
"ABCB11";1,1696;1,8801;3,2154;4,3839;1,2332;4,2527;1,7197;2,4038;6,8027;1,2516;6,5502;0;6,8369;2,7804;2,4293;8,4158;0;0;8,4531;1,6997;3,6279;0,9877;4,259;4,833;7,7591;5,2045;0;2,9254;0,374;0;4,5243;1,3396;3,8631;6,7114;0,8795;10,3003;4,3581;0,6812;6,056;1,5649;9,5714;4,1732;8,077;0,6897;6,0073;1,6251;19,551;7,697;0,9993;3,2573;3,7546;7,5117;2,0596;95,7754;5,9108;10,3986;0;2,4646;5,3346;0,4322;0,818;25,3506;10,3424;10,7066;3,3135;3,4913;1,5689;12,1239;6,544;2,139;7,8658;3,0185;1,5146;7,6462;9,4381;8,6455;10,3939;0,5542;3,8509;1,4399;2,2143;3,3245;11,3772;1,5337;9,1476;19,2893;4,4433;4,0844;1,0861;1,8553;0,6205;3,3565;1,1301;0,7007;4,9532;4,1203;0,5124;1,2866;1,1244;3,614;4,1169;16,3181;6,5866;16,7524;2,4507;1,1386;4,3687;16,3825;1,0736;16,0723;2,0289;3,5842;3,3727;0;22,8797;1,2755;17,5834;0,9799;10,6519;3,3126;8,258;2,5633;0,4639;1,5228;3,6538;8,0414;3,9722;4,9476;4,7865;1,442;9,0129;1,0718;45,738;2,5214;10,0582;1,2632;3,0228;3,6513;14,6163;0,6757;11,9729;5,4482;18,2952;1,5823;7,1942;0,441;13,1054
"ABCB1";70,1754;51,7039;541,2647;139,0324;92,4927;434,4821;440,6707;427,0833;1189,2393;722,1527;221,6157;251,9685;52,6845;78,3133;554,3571;131,1881;539,468;129,0516;1748,9434;304,8159;249,5213;139,2593;284,1932;134,8858;823,6856;141,2639;33,2717;505,1195;496,2603;384,1669;1241,7831;1175,4856;68,4327;205,8166;258,5752;62,8319;318,8669;2098,0926;96,8963;93,8967;257,1785;18,0838;212,6934;217,2414;110,385;592,091;396,0898;34,3407;247,3145;94,4625;193,7377;92,0188;163,5304;34,2611;139,1725;543,6164;49,7859;40,6654;358,8749;98,1197;550,5112;417,4919;1290,2923;287,7944;890,3247;1236,6584;137,4333;4974,7255;377,9141;1347,9501;370,215;52,6089;518,3643;787,0524;226,514;353,8264;434,3545;446,107;450,557;266,8587;135,624;316,4967;108,3832;362,8834;758,0042;82,7411;456,874;1468,3458;370,0787;461,7016;208,8117;241,6716;279,1436;97,0483;619,7028;490,7293;222,3999;739,7877;46,4768;945,4283;723,8968;238,0367;335,1414;151,7867;677,3862;56,5519;294,0149;280,4292;240,4824;119,8534;68,983;394,9821;254,6374;214,4582;383,6753;769,1327;600,9919;432,1411;356,1994;628,5714;1645,6941;23,924;75,6117;113,198;284,9966;78,6904;64,5482;257,274;260,069;118,9618;1525,3219;1392,8189;301,8711;147,7567;462,1493;544,4211;178,8476;191,2369;1095,0061;606,7568;441,9573;271,9168;357,1726;626,0549;290,853;63,0581;270,6553
"ABCB4";13,4503;47,9436;16,0772;95,1934;41,93;25,8705;51,5907;121,7949;25,974;35,6696;56,7686;14,1732;27,3477;37,9981;354,1861;21,7822;76,9745;82,8331;94,6746;30,0283;22,1707;86,4198;29,0388;21,529;107,4017;7,4349;30,103;59,4832;33,6574;3,6821;35,3959;65,3048;21,5232;55,9284;23,3069;22,1457;54,4761;26,5668;21,1961;47,47;34,124;41,0363;77,1799;111,0345;27,784;49,8375;18,1028;46,1823;7,4944;15,356;42,0516;103,2864;32,5413;22,5812;34,3901;22,5303;421,3062;56,6852;84,3841;14,2641;32,3108;34,0648;108,4385;81,3704;86,8125;51,8703;36,3979;100,6281;52,3517;61,6756;38,8044;30,6166;70,8065;21,9192;44,7435;51,553;28,9934;42,6711;23,6556;29,7576;8,3035;23,2718;17,3653;41,7178;60,2911;39,0863;103,241;46,9707;13,3044;39,2261;30,0962;51,3552;37,6712;21,3716;59,989;58,5084;48,682;35,5956;55,4723;84,9295;32,2494;48,9542;75,1647;18,783;77,9337;85,0176;192,6606;25,5374;31,6707;14,2355;26,8831;37,9928;17,9876;17,2157;223,5173;28,699;278,6294;36,2567;61,781;105,176;64,4908;14,098;37,1101;37,5635;15,5287;16,0827;22,3436;48,6512;221,2448;34,6071;32,618;118,4352;74,4283;14,6244;32,2922;59,3684;22,6708;27,3848;185,1401;55,4054;90,5778;86,1813;39,501;17,9325;63,2066;209,8997;268,9459
"ABCB5";2,3392;37,6028;23,5798;5,6364;1,2332;3,1895;16,767;49,6795;12,3686;10,6383;1,0917;3,1496;2,0109;1,3902;8,2595;1,4851;4,5279;21,0084;6,3398;3,966;21,3645;4,9383;8,5181;6,5905;17,56;0;16,8999;14,1394;7,4794;3,6821;13,0406;13,3958;3,3113;5,5928;1,3193;4,1201;5,8108;6,1308;6,056;6,7814;6,6583;0,6955;7,1795;9,6552;0;9,2091;1,4482;0;0,9993;5,584;3,7546;4,6948;1,6477;0;0,5373;8,0878;1,0707;3,0807;6,3046;0,4322;6,544;11,487;10,029;20,5567;12,5911;4,9875;3,4515;4,5464;8,18;21,0339;8,3901;2,5873;21,2041;10,7047;2,0974;7,3647;2,7352;38,2377;1,1003;37,917;0;7,9789;1,7964;3,3742;8,7318;18,7817;3,6592;6,8074;4,8873;9,5415;4,0335;9,734;10,1712;1,0511;8,2554;7,0045;5,1244;4,7175;3,7481;46,9823;16,4678;6,2164;8,9113;2,5382;6,8621;1,8977;24,028;2,891;3,2207;1,3776;0,5072;10,7527;1,6863;2,9513;10,9999;11,4796;41,028;13,7188;3,8347;40,1656;7,4715;1,7089;7,8859;10,6599;5,4807;13,7852;0,4965;1,6492;4,2547;5,0469;5,1502;23,0439;0,4158;4,5386;6,8819;1,6842;0,5038;1,8257;6,0901;9,4595;15,0963;31,2036;12,0582;4,7468;7,1942;0,8819;1,1396
"ABCB6";392,8713;457,2127;350,2144;395,5785;411,4691;431,8242;763,9295;526,1138;442,9561;259,8748;445,4694;571,0394;380,3499;289,2678;467,307;438,4257;698,7663;1610,5702;337,6881;546,8895;290,263;538,7802;659,94;268,1019;315,4916;721,6952;1037,0214;459,6099;317,3934;515,3728;325,155;374,4374;320,7947;475,481;266,6799;529,3121;435,6492;432,3297;451,0447;460,626;267,9484;1521,7806;672,4252;305,469;638,2732;375,623;321,0862;348,534;691,9011;499,5114;369,1679;575,2676;395,0475;600,9632;383,8366;553,8648;495;474,9107;410,291;1349,5353;396,1881;214,3864;396,189;298,8822;401,0139;274,8354;255,8707;351,974;463,3988;395,8645;251,248;453,6179;184,7179;396,2126;342,4556;290,7012;317,686;430,4018;395,709;248,8697;416,5096;675,7737;628,2814;439,911;248,9231;424,8731;573,173;217,3179;360,3991;446,6234;211,8616;530,1972;168,9817;554,3032;316,2741;252,3156;284,7128;240,1158;414,1754;306,6606;274,4289;228,3261;332,3673;677,7249;358,7843;335,0109;486,4395;500,7541;368,3997;570,438;503,4441;494,8817;238,6228;470,6915;344,9734;592,8061;300,78;395,0808;538,2957;423,8302;476,2485;359,9402;778,7545;467,2487;398,5933;177,6852;511,2612;344,8873;403,9952;316,5465;314,8369;450,1018;269,106;378,8774;323,8274;444,7116;441,5017;507,9598;521,2789;406,9054;425,1796;623,9921;220,2744;386,6192;394,445;396,6266;278,5071
"ABCB7";287,1345;269,8002;412,6474;370,1268;337,29;405,7766;396,8186;319,7115;387,1367;469,3367;420,3057;376,378;284,3354;419,8332;417,8327;312,3762;357,7048;276,7107;388,8419;271,3881;400,6853;302,2222;312,0705;355,4482;377,3354;379,1822;304,7267;409,5563;287,5841;258,9751;438,8556;371,7348;393,4879;354,5861;443,7115;423,3426;354,458;386,2398;230,1287;385,4982;333,3333;340,8103;490,9;376,5517;419,0125;346,1538;488,0521;395,5097;462,1534;570,9632;352,933;350,2347;466,7002;197,78;337,453;350,0867;267,1306;314,849;271,096;395,9369;397,137;340,2519;435,9477;405,5675;423,1279;523,4414;363,0373;370,9903;507,9755;385,7398;388,044;457,5248;362,3627;354,7853;381,3685;387,448;369,256;392,9066;308,6233;311,0151;471,0858;288,5705;339,521;456,135;350,5198;377,665;349,9739;439,0742;412,164;450,3048;465,7152;441,7219;673,5611;493,2995;382,4986;469,7157;325,9132;371,3949;371,0645;450,3072;379,4454;406,9158;414,1806;381,7511;369,5725;356,7701;378,3311;376,3148;526,0552;341,1919;390,5656;357,7061;324,3395;275,4509;485,7541;330,9949;359,3327;373,8364;403,9199;392,9607;364,1368;376,8023;309,4051;317,7665;358,0726;311,8897;323,2373;336,4352;390,3695;261,7159;373,3906;387,9957;319,7505;437,2185;313,9227;419,3684;317,3915;312,1862;427,5274;343,9189;325,8719;460,6241;359,6674;375;338,6434;431,2645;502,5641
"ABCB8";970,7602;763,3373;759,9143;637,545;1023,5856;780,7212;704,2132;841,3462;635,7452;716,5207;852,6201;800;785,4414;956,9045;774,4481;1084,6535;1357,079;1108,6435;1035,0803;1201,6997;850,9523;809,8765;1034,9434;633,1283;515,365;666,9145;1190,3882;1002,9254;654,4503;629,641;548,7691;556,2626;825,0552;868,0089;942,3923;768,9178;845,4694;745,9128;660,106;950,965;724,9272;1397,3222;420,8996;831,0345;895,8457;778,9816;440,2607;557,1476;772,9203;860,8655;662,3126;715,493;298,6387;885,3382;904,8898;790,8723;463,0621;1130,6223;786,6149;869,2457;336,6053;463,0437;433,127;453,5332;544,7316;711,9701;727,6436;565,8815;688,3436;477,7184;511,2743;868,0466;430,1401;696,3171;661,7146;661,8636;696,9365;719,867;756,9798;586,993;834,226;799,2207;1094,012;609,2025;676,0915;211,6751;464,1924;390,0613;610,915;760,1378;603,7853;697,1553;349,2121;533,2399;511,2823;618,871;432,5011;468,3178;416,7916;353,4514;363,6638;717,2182;588,5316;811,221;807,7659;808,8054;975,5352;742,511;510,4882;500,0781;623,3832;571,3262;708,8252;696,4973;611,1525;1036,352;685,3021;725,6247;770,7712;595,0311;599,2922;638,257;993,1578;1423,3503;804,7499;961,5164;1757,6961;625,0438;787,6528;586,8782;675,1073;764,7374;518,0873;860,317;717,8401;776,4211;1053,4377;738,0192;885,5055;666,8919;648,0999;670,629;546,7775;669,3038;822,7133;1002,756;646,7236
"ABCB9";414,4152;68,832;154,298;200,6638;216,5994;194,5459;202,558;385,1843;150,7669;115,1439;378,821;227,0866;189,2379;106,5014;110,5216;289,7871;276,2089;152,8031;298,5376;325,8017;333,8426;214,2667;164,3558;204,5694;157,8193;239,71;155,9282;222,8425;130,4787;218,4719;156,1091;109,6952;199,5143;265,5928;185,8047;123,5367;171,0187;205,1294;228,4254;337,9499;229,8918;276,8006;252,1539;138,1655;272,8688;173,0986;164,3736;139,5;226,9398;163,3225;206,1279;229,0047;170,4136;191,7999;227,9688;377,6834;350,6424;369,4023;126,1639;135,2064;79,636;174,186;129,3082;81,8715;118,8304;113,5935;126,2975;176,1871;90,4785;130,7308;93,1935;468,0983;145,036;153,7505;185,3989;101,5466;192,965;150,2078;348,1392;309,7144;225,0251;160,3295;116,5329;103,0613;156,5031;281,9797;147,8881;131,3002;120,953;72,1071;255,2808;135,7355;80,413;78,2237;142,1464;166,2588;102,76;80,283;82,1702;82,5732;112,9416;179,8692;164,5912;266,2155;145,045;127,644;191,7256;219,3949;191,1352;296,9472;211,6713;140,9534;158,1506;303,9699;170,1283;350,4974;155,4148;125,6933;108,121;68,4306;196,7047;679,513;120,9602;443,5533;152,5462;243,992;418,4906;162,8454;126,2957;201,2112;163,7253;150,0697;175,0437;117,1161;149,0895;162,7242;248,709;300,6846;211,3094;100,7027;197,1838;243,0015;222,9771;260,3428;126,1254;213,6082;92,5812
"ABCC10";653,8012;639,2479;554,1265;567,4025;908,2781;845,2202;536,1135;595,3526;718,6147;623,2791;427,9476;474,0157;752,0611;532,9008;575,2488;604,4554;538,8212;516,8067;644,1251;938,2436;540,9654;599,5062;444,1003;607,645;541,0924;512,2677;780,037;599,2199;568,0628;490,9481;408,7824;459,4776;592,7152;659,9553;534,3008;770,9779;602,8691;682,5613;805,4504;682,3161;939,6588;477,8299;320,3863;703,4483;683,7113;713,4345;585,0833;529,9119;326,7549;638,9018;428,0251;698,5915;355,4831;735,8352;881,784;593,8764;673,9829;401,1091;677,9825;564,0804;517,7914;396,8946;411,1886;358,8865;568,2571;627,182;578,2868;389,7823;400;502,3173;501,311;885,7266;437,713;511,2782;771,1265;647,1342;683,2604;481,5738;828,4968;914,3269;1318,5974;686,8511;1044,9102;711,6564;428,2744;260,9137;378,9859;304,2886;612,8156;721,7069;582,3767;476,9657;383,1161;676,535;356,6318;435,1051;443,2624;504,7711;344,078;427,9003;439,1412;593,149;702,4409;506,1248;676,4059;498,3395;598,0778;448,5904;1209,3901;816,0135;602,0796;660,2151;757,1669;544,9993;678,0317;570,1531;691,6141;686,4282;569,2373;554,8654;550,5309;375,5207;663,3422;782,2335;619,3195;854,6812;725,422;439,922;713,7273;876,7123;586,6953;465,1661;640,3326;837,1197;957,1202;745,2632;529,9935;681,8804;570,6456;483,1081;527,3295;558,6924;868,1913;869,1983;664,4399;686,5836;679,7721
"ABCC11";0;322,4442;1,0718;1,2525;1,8499;9,9229;21,0662;94,5513;3,7106;0;3,2751;1,5748;14,8804;0;1,9434;38,1188;0,6468;2,401;8,4531;2,8329;1,2093;0;5,4206;4,3937;3,6753;3,7175;2,1125;0,4876;1,4959;2,4547;1,8629;1,6745;3,3113;1,1186;1,3193;4,6351;0,7263;3,406;4,542;1,0433;2,0807;2,0866;9,8718;1,3793;2,6282;2,7086;1,4482;1,1842;0,4996;7,9107;0,7509;3,7559;2,4715;2,336;1,612;1,1554;5,8887;2,4646;1,4549;3,458;2,045;3,961;0,3134;1,7131;2,9821;3,2419;7,5306;5,4557;4,499;1,426;2,0975;1,2937;5,6797;5,6072;2,0974;1,9212;0,547;0;5,5013;1,9198;6,6428;2,6596;4,7904;46,9325;2,079;2,0305;3,9205;5,4459;2,7152;2,1203;3,1027;3,3565;1,8836;4,905;68,2444;1,6481;3,5871;0,8577;1,1244;2,5298;4,8031;5,4394;5,4243;3,0459;1,9606;1,8977;2,1844;0,9637;1,6104;2,296;5,0723;3,5842;2,8106;1,4756;0,44;3,1888;0;1,4699;41,3294;0,4141;35,7845;17,943;5,5665;2,5381;0,9135;1,1488;4,4687;0,8246;1,0637;5,0469;2,5751;4,2872;15,3846;5,0429;3,1763;1,6842;5,5418;7,759;4,8721;1,3514;3,6439;2,4765;1,2474;1,0549;6,1665;3,9687;0
"ABCC12";0;0,9401;0;0;0;0,7088;0,4299;0;0;0;0;12,5984;0;0;0;0;0;0;0;1,1331;0;0,4938;0;0;0;0,7435;0;0;0;17,1832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5417;0;0;0,9993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3138;0;0;0;2,0975;0;0;0,5097;0;0;0,547;2,2167;0;0;1,6607;0;0;0;0;0;0,2614;0;0;0;0;0;0;0;0;0;0;0,4289;0;0;0,6862;0;0;0;0;0;0;0,4818;0;0,4592;0;14,3369;0;0;0;0;0;0;0,4261;0;0;0;0,4639;0,5076;5,4807;0;0;0;0;1,442;0;0,5359;0;0;0;0;0;0;0;0,6757;0;0;0;0;0;0;0
"ABCC13";0;2,8202;0;0;0;0;0;0;0;2,5031;1,0917;0;0,4022;0,4634;10,6887;0,9901;0;0,6002;22,8233;0;0;0,4938;0;3,5149;0;0;0;1,4627;0;0;0,2661;0,3349;0,5519;1,1186;0;0;2,9054;0,6812;3,028;0,5216;7,9068;8,3464;0,8974;0;12,3902;0;2,1723;6,5129;0;0;3,7546;0,939;0;4,672;0,5373;0,5777;1,0707;0;0;0;0;1,9805;0,9402;0;1,9881;5,7357;0,9413;0,3031;0,818;1,0695;0;0;0;2,5487;1,0487;1,601;2,7352;0;0;0,48;0;0;25,1497;1,8405;0;0;1,8296;0;10,5892;0;0,6205;0;4,1438;0,7007;2,2014;0,8241;0;0;0;0;0;4,1443;1,9372;0;1,4704;1,1386;0,4369;0;0;2,296;14,7096;0;0;0;0;0;0;0;28,9732;2,8986;0;0;0;0;1,8269;1,1488;0,993;14,0181;0,5318;0,721;1,2876;0;8,7318;0;0;0;0;0;3,0451;0;0;0,4953;10,395;0;1,0277;15,4338;1,1396
"ABCC1";1398,8304;2023,0317;1441,5863;1010,1769;2452,2892;1860,5475;1489,6819;1419,0705;1656,7718;2050,0626;1971,6157;727,5591;3872,9137;2406,8582;1429,3766;2160,8911;998,7273;851,1405;1135,672;1835,1275;2023,1785;2606,9136;1417,4814;1126,0984;1472,9964;2359,8513;2417,7449;1200,3901;2784,9663;1005,2163;1513,5063;1651,3731;2115,894;1493,2886;2857,08;2288,7279;1530,4158;1292,2343;1716,8812;1093,8967;1974,1989;2130,4121;2323,4735;1401,3793;2318,8362;1321,2351;1169,4424;2084,1228;1723,2076;1976,7334;873,3215;1477,9343;3196,876;1396,1402;1620,0967;1320,6239;1181,4775;1387,5539;1442,289;1715,5825;1643,3538;1968,2326;1693,9591;1656,9593;1413,1875;1310,2244;2010,0408;1767,0535;1613,4969;1650,6239;1630,8338;1978,439;1583,1125;1292,2136;1949,4888;1601,6651;1327,6805;1205,32;1128,318;2397,8882;2724,6584;1402,2933;1807,7844;2065,6442;2113,5135;2435,533;1661,0037;1330,1566;1126,5273;2909,621;2754,8868;1691,7009;1806,3342;2112,9894;1906,9895;1579,7281;2601,6685;1530,1812;2666,042;1721,7203;1143,1394;1751,7322;1280,8989;1600,1056;1203,8065;1958,4401;1816,5138;2032,8709;1862,1279;1223,7907;1846,3099;1282,4373;1807,7572;1864,7044;1958,8561;1431,1224;2022,9937;1833,415;2666,3826;1528,3644;1381,8325;2028,4097;2134,7559;824,3655;1721,8543;1690,4078;2021,8471;1242,254;1829,5245;1372,7469;1426,1803;974,2765;2106,4449;3524,98;1385,3891;1721,2632;1589,4767;2283,8886;1534,1048;1060,1351;1609,5783;1269,9356;1118,9189;1290,0844;1985,6115;1978,6132;1889,4587
"ABCC2";2,924;10,3408;7,5027;13,1517;11,0991;17,7195;8,1685;9,6154;10,5133;5,0063;2,1834;6,2992;7,6413;6,9509;6,3161;4,9505;5,1748;198,0792;178,7828;11,3314;17,3335;8,3951;3,8718;4,3937;12,2511;4,461;388,1701;14,1394;4,8616;24,5474;11,976;11,0516;38,0795;8,9485;4,3975;6,6952;6,5371;19,7548;19,6821;2,6082;17,062;28,5168;35,8976;5,5172;16,1447;9,2091;8,6894;13,0258;16,4876;8,8413;3,0037;17,8404;8,2383;8,5653;6,9855;48,5269;5,3533;1,2323;9,2144;8,2127;4,09;3,961;16,2971;23,9829;18,8867;191,5212;54,9106;859,279;6,135;18,1818;16,7803;71,1514;10,2234;95,8328;16,4293;17,9315;11,488;2,2167;9,3522;11,0391;5,5357;8,6438;16,1677;14,4172;18,2952;2,5381;19,8641;5,4459;60,2769;4,5057;1,8616;15,7758;15,4452;4,905;6,6043;11,5369;5,1244;6,4329;8,2459;19,8771;15,0955;9,3246;8,5238;4,0612;9,3128;2,6568;50,2403;7,7094;13,4198;15,1539;8,1156;11,4695;16,8634;11,805;21,5597;6,3776;29,7565;18,1284;5,539;19,0476;20,8415;1,2816;75,1479;14,2132;11,8749;9,7645;70,5065;4,5353;23,4009;24,5133;5,5794;2,6795;10,395;3,0257;26,9984;12,6316;7,5569;6,8462;14,0073;8,1081;11,9729;24,2694;6,237;6,8565;4,6249;11,0241;47,2934
"ABCC3";757,8947;6400,9401;6856,3773;7140,1284;7722,522;6843,271;5490,1118;5116,9872;5912,1831;3519,3992;6120,0873;3796,8504;7650,1106;8364,6895;8201,1816;3848,0198;4899,8443;5659,0636;3311,0735;8862,3229;5782,9285;3711,1111;7847,4494;3150,2636;4429,6069;7898,1413;9862,16;7856,1677;3189,2296;3867,444;3441,1178;5697,2539;7071,1921;4383,6689;5138,9622;4513,0788;4307,9717;8224,1144;8748,6752;338,5498;15117,3533;4943,1403;9330,6889;1656,5517;13871,7168;10315,818;4575,6698;9878,8604;8429,6777;5520,7073;6491,7145;5810,3286;8594,6165;6089,1334;11946,2654;5517,6199;4286,9379;7383,2409;5056,741;5893,2354;2615,5419;11105,1256;2161,2474;4141,7559;4031,4778;7183,2918;2754,6282;6658,7306;2959,1002;5085,5615;2344,5202;2139,2842;7946,9898;4722,3143;6259,1978;2490,8742;8387,8556;3845,3865;8605,1437;1585,7931;6581,9155;6040,0342;9710,1796;7589,8773;4350,9356;2436,5482;3106,116;5883,5943;5636,1662;3698,6483;5181,5079;4449,442;4767,2908;8548,3052;3236,6538;4280,5933;2861,4767;10025,0885;4214,018;1445,9704;2118,1702;5886,68;6141,8055;10433,6834;2571,813;1695,0375;1768,4578;6272,0742;8089,9769;8222,1283;3824,4991;4645,1613;6397,4143;15433,6139;3558,2366;5484,6939;2142,0198;2391,9647;9923,3063;888,6128;8819,1113;1337,1783;5562,7972;2936,0406;6031,514;7488,2252;8482,6216;8262,8647;1677,4187;11410,9589;5434,3348;3551,9829;19392,9314;4995,4866;9935,4156;6499,3684;10729,8494;11485,1666;4176,6139;2556,0811;1505,4659;3930,6587;5362,1622;4087,5527;3409,0442;12445,8163;2104,2735
"ABCC4";94,7368;286,7215;225,0804;343,1971;204,1005;322,1405;169,3895;232,3718;443,4137;567,5845;260,917;215,748;192,2381;98,7025;223,0061;183,1683;146,8336;626,0504;366,8639;214,7309;249,5213;219,2593;251,6697;164,7627;431,2404;147,2119;264,5894;358,3618;386,6866;338,7542;456,9528;575,3516;298,0132;327,7405;215,9191;191,0707;415,4712;386,2398;147,6154;191,9666;124,4278;34,7766;57,4362;320,6897;103,2513;237,2698;236,7849;191,2419;291,2815;313,6342;179,4702;288,2629;258,6829;82,5381;188,6083;549,3934;233,94;90,573;341,4161;157,3374;674,4376;340,648;457,2593;477,9443;469,8476;1047,8803;545,0267;1062,3538;297,3415;690,5526;563,1883;838,7236;307,8379;676,9466;322,9922;776,1768;326,0394;274,3142;176,5919;348,4521;275,6765;238,0375;98,2036;330,9816;529,3139;369,5431;1330,1098;439,0742;834,1026;287,5696;548,5572;309,8095;280,6505;296,4001;812,8784;306,1393;426,3518;641,1494;622,5637;619,082;529,7141;327,6565;299,1089;305,0963;480,3462;259,2276;481,8698;201,8898;219,5475;228,2266;143,0383;301,0753;228,7802;160,3518;457,5944;332,2704;342,2002;435,5708;204,9425;848,8613;301,219;196,091;375,7393;133,5025;228,3626;182,0793;71,4995;240,782;346,7587;170,8724;359,6567;359,5927;192,5156;279,3761;265,7491;478,3158;127,9642;260,6116;356,8819;636,4865;269,1307;492,3229;403,7422;287,4473;281,6033;118,6198;281,4815
